hospital_id,hospital_name,hospital_city_direct,cghs_city,state,hosp_type_code,nabh_status,nabl_status,pincode,total_claims,total_claimed_lakh,total_approved_lakh,total_deducted_lakh,deduction_pct
2527,BRIJLAL HOSPITAL & RESEARCH CENTRE PVT LTD,HALDWANI,Bareilly,Uttar Pradesh,1,N,N,263139,33585,3440.87,3193.91,246.95,7.18
431,AMALA CANCER HOSPITAL RESEARCH CENTRE,THRISSUR,Kochi,Kerala,1,N,N,680555,44453,5806.53,5559.63,246.90,4.25
5089,Kolkata,Kolkata,Kolkata,West Bengal,M,N,N,700021,7611,762.14,516.01,246.12,32.29
246,Vivekanand Medical Foundation & Research Centre (Run By Vivekanand Hospital),Latur,Pune,Maharashtra,1,N,N,413512,22606,2165.94,1920.63,245.31,11.33
3432,AMCARE HOSPITAL(A UNIT OF AMCARE MEDICAL & RESEARC,ZIRAKPUR,Chandimandir,Chandigarh,,N,N,140603,4043,2543.22,2298.30,244.93,9.63
5261,Danapur Cantt,Danapur,Patna,Odisha,M,N,N, ,16396,1236.49,994.18,242.31,19.60
2970,KOTHARI MEDICAL CENTRE,KOLKATA,Kolkata,West Bengal,1,N,N,700027,5572,2549.33,2307.70,241.63,9.48
2637,MEHTA MULTISPECIALITY HOSPITAL,RAJGARH,Hisar,Haryana,1,N,N,331023,3289,1656.43,1415.10,241.32,14.57
455,FORTIS HOSPITALS LTD - FARIDABAD,FARIDABAD,Delhi,Delhi,1,Y,Y,121001,52645,5901.08,5659.78,241.30,4.09
689,KRISHNA SHALBY HOSPITAL,AHMEDABAD,Ahmedabad,Gujarat,1,N,N,380058,8484,2708.51,2467.44,241.07,8.90
2457,PARKASHVATI HEALTHCARE PRIVATE LIMITED,AMRITSAR,Jalandhar,Punjab,1,N,N,143115,2558,4475.13,4234.57,240.57,5.38
5371,Allahabad,Allahabad,Allahabad,Uttar Pradesh,M,N,N,,4105,775.96,536.78,239.19,30.82
5017,Chittur,Chittur,Secunderabad,Andhra Pradesh,N,N,N,NA,2171,566.33,327.24,239.09,42.22
1073,DELHI HOSPITAL & NURSING HOME,BAHADURGARH,Hisar,Haryana,1,N,N,124507,3050,1622.86,1384.60,238.25,14.68
