hospital_name_with_id,hosp_type_code,nabh_status,total_claims,total_claimed_lakh,total_approved_lakh,total_deducted_lakh,deduction_pct
SJM SUPER SPECIALITY HOSPITAL - NOIDA [3913],,N,390,830.60,684.96,145.64,17.53
JSS HOSPITAL - MYSORE [1462],1,N,15795,1514.78,1369.31,145.47,9.60
HARGUN HOSPITAL [1402],1,N,1528,2105.04,1960.30,144.74,6.88
NARAYANA HRUDAYALAYA LTD - JAIPUR [1204],1,Y,16342,5369.33,5224.83,144.50,2.69
FORTUNE HOSPITAL(UNIT OF ONION HEALTHCARE PVT LTD [3460],,N,674,594.99,450.55,144.43,24.28
MAHAJAN HOSPITAL (A MULTI SPECIALITY CENTRE) [1997],1,N,1158,1507.15,1363.18,143.97,9.55
JSF's AnandRishiji Hospital & MRC [226],1,N,6442,1103.86,960.07,143.79,13.03
CITIZENS HOSPITALS (A UNIT OF ARTMED HEALTHCARE) [1744],1,N,5057,1859.62,1715.91,143.71,7.73
CHENNAI NOBLE HOSPITALS PVT LTD [1654],1,N,4544,935.16,791.69,143.48,15.34
DR D Y PATIL HOSPITAL AND RESEARCH CENTRE [2831],1,N,4180,1320.11,1177.28,142.83,10.82
Guwahati [5414],M,N,3915,461.46,318.69,142.77,30.94
DIPAKSHI NURSING & MATERNITY HOME PVT LTD [1773],1,N,1141,1263.25,1120.69,142.56,11.28
UJALA HOSPITAL (A UNIT OF UJALA HEALTH CARE SERVICES LTD) [2716],1,N,15257,1173.25,1030.94,142.31,12.13
Rewa [5272],N,N,5370,554.40,412.18,142.22,25.65
TELLICHERRY CO OPERATIVE HOSPITAL [450],1,N,21733,1871.02,1728.83,142.19,7.60
Villupuram [5161],N,N,1491,317.80,176.15,141.65,44.57
APEX HOSPITALS (P) LTD- JAIPUR [285],1,N,8963,2546.43,2406.24,140.19,5.51
Coochbehar [5091],N,N,1467,346.11,206.24,139.87,40.41
